pilot_id,media_id,group,media_property,candidate_position,selection_source_url,article_url,final_resolved_url,article_title,publication_date,selection_timestamp,eligibility_status,exclusion_reason,notes
pilot-01,A01,A,Asahi Shimbun Digital,1,https://www.asahi.com/news/,https://www.asahi.com/articles/ASV967V6NV96SFVU3G2M.html,https://www.asahi.com/articles/ASV967V6NV96SFVU3G2M.html,"「冬も戦争続く」　早期終戦の道筋は見えず　米特使ら、キーウ初訪問",2026-09-07T09:21:00+09:00,2026-09-07T09:39:35+09:00,EXCLUDED,paid/authentication-restricted,"Paid article indicated by lock icon in the latest-news listing."
pilot-01,A01,A,Asahi Shimbun Digital,2,https://www.asahi.com/news/,https://www.asahi.com/articles/ASV932FCTV93BQBBQ1Y8M.html,https://www.asahi.com/articles/ASV932FCTV93BQBBQ1Y8M.html,"91歳でアパラチア山脈3500キロ踏破　71回転倒、山超え川越え",2026-09-07T09:00:00+09:00,2026-09-07T09:39:35+09:00,SELECTED,,"Ordinary public article; sufficiently substantial article content accessible without authentication."
pilot-01,A01,A,Asahi Shimbun Digital,3,https://www.asahi.com/news/,https://www.asahi.com/articles/ASV942T4QV94UTIL00DM.html,https://www.asahi.com/articles/ASV942T4QV94UTIL00DM.html,"看護の課題、工学やAIで解決を　東大講義から生まれた学生サークル",2026-09-07T09:00:00+09:00,2026-09-07T09:39:35+09:00,EXCLUDED,paid/authentication-restricted,"Paid article indicated by lock icon in the latest-news listing."
pilot-01,A01,A,Asahi Shimbun Digital,4,https://www.asahi.com/news/,https://www.asahi.com/articles/ASV967KX5V96ULLI005M.html,https://www.asahi.com/articles/ASV967KX5V96ULLI005M.html,"東北新幹線が東京―仙台間で運転見合わせ　人身事故の影響で",2026-09-07T08:20:00+09:00,2026-09-07T09:39:35+09:00,SELECTED,,"Ordinary public article accessible without authentication; short article retained because article length is not a selection criterion."
pilot-01,A01,A,Asahi Shimbun Digital,5,https://www.asahi.com/news/,https://www.asahi.com/articles/ASV967R6KV96UHBI003M.html,https://www.asahi.com/articles/ASV967R6KV96UHBI003M.html,"アマゾンの貨物機がオーバーラン、5人死亡　マイアミで着陸時に",2026-09-07T08:18:00+09:00,2026-09-07T09:39:35+09:00,SELECTED,,"Ordinary public article accessible without authentication."
pilot-01,A02,A,Nikkei,1,https://www.nikkei.com/news/category/,https://www.nikkei.com/article/DGXZQOUD070A20X00C26A9000000/,https://www.nikkei.com/article/DGXZQOUD070A20X00C26A9000000/,"千葉市の国道でアンダーパス予防的規制　全国初、8月の豪雨で犠牲者",2026-09-07T09:33:00+09:00,2026-09-07T09:45:09+09:00,SELECTED,,"Ordinary public article; sufficiently substantial article content accessible without authentication."
pilot-01,A02,A,Nikkei,2,https://www.nikkei.com/news/category/,https://www.nikkei.com/article/DGXZQOCB070PY0X00C26A9000000/,https://www.nikkei.com/article/DGXZQOCB070PY0X00C26A9000000/,"日本とベトナム、地方間協力を模索　フン首相「経験共有を」",2026-09-07T09:33:00+09:00,2026-09-07T09:45:09+09:00,SELECTED,,"Ordinary public article; sufficiently substantial article content accessible without authentication."
pilot-01,A02,A,Nikkei,3,https://www.nikkei.com/news/category/,https://www.nikkei.com/article/DGXZQOFL070N00X00C26A9000000/,https://www.nikkei.com/article/DGXZQOFL070N00X00C26A9000000/,"韓国株が続伸で始まる　一時3%あまり上昇　SKハイニックス6%高",2026-09-07T09:32:00+09:00,2026-09-07T09:45:09+09:00,EXCLUDED,paid/authentication-restricted,"Paid article indicated by lock icon in the breaking-news listing."
pilot-01,A02,A,Nikkei,4,https://www.nikkei.com/news/category/,https://www.nikkei.com/article/DGXZQOFL070930X00C26A9000000/,https://www.nikkei.com/article/DGXZQOFL070930X00C26A9000000/,"東証寄り付き　日経平均は続伸で始まる　一時1200円高　米半導体株高が支え",2026-09-07T09:26:00+09:00,2026-09-07T09:45:09+09:00,SELECTED,,"Ordinary public article; sufficiently substantial article content accessible without authentication."
pilot-01,A03,A,Yomiuri Shimbun Online,1,https://www.yomiuri.co.jp/news/,https://www.yomiuri.co.jp/national/20260906-GYT1T00180/,https://www.yomiuri.co.jp/national/20260906-GYT1T00180/,"収穫前のモモ「かぐや」700個、畑の木からもぎ取られる…警察が窃盗事件として捜査",2026-09-07T09:19:00+09:00,2026-09-07T09:48:44+09:00,SELECTED,,"Ordinary public article; sufficiently substantial article content accessible without authentication."
pilot-01,A03,A,Yomiuri Shimbun Online,2,https://www.yomiuri.co.jp/news/,https://www.yomiuri.co.jp/economy/20260907-GYT1T00042/,https://www.yomiuri.co.jp/economy/20260907-GYT1T00042/,"週明けの日経平均、一時1000円超上昇…6万6000円台で推移",2026-09-07T09:10:00+09:00,2026-09-07T09:48:44+09:00,SELECTED,,"Ordinary public article accessible without authentication."
pilot-01,A03,A,Yomiuri Shimbun Online,3,https://www.yomiuri.co.jp/news/,https://www.yomiuri.co.jp/national/20260907-GYT1T00037/,https://www.yomiuri.co.jp/national/20260907-GYT1T00037/,"東北新幹線・東京―仙台駅間の上下線で運転再開、人身事故の影響で一時運転見合わせ",2026-09-07T08:56:00+09:00,2026-09-07T09:48:44+09:00,SELECTED,,"Ordinary public article accessible without authentication; short article retained because article length is not a selection criterion."
pilot-01,A04,A,Mainichi Shimbun,1,https://mainichi.jp/flash/,https://mainichi.jp/articles/20260907/k00/00m/030/027000c,https://mainichi.jp/articles/20260907/k00/00m/030/027000c,"米長官「核合意は成立しない可能性も」　外交的解決を急がず",2026-09-07T08:48:00+09:00,2026-09-07T09:57:00+09:00,SELECTED,,"Ordinary public article accessible without authentication. Full-screen/large overlay advertisement observed on article entry; advertising behavior did not affect article selection."
pilot-01,A04,A,Mainichi Shimbun,2,https://mainichi.jp/flash/,https://mainichi.jp/articles/20260907/k00/00m/200/022000c,https://mainichi.jp/articles/20260907/k00/00m/200/022000c,"BTSがグラミー賞応募見送り　「音楽そのものを…」発言話題に",2026-09-07T09:42:00+09:00,2026-09-07T09:57:00+09:00,SELECTED,,"Ordinary public article; sufficiently substantial article content accessible without authentication. Overlay advertisement not observed on this navigation."
pilot-01,A04,A,Mainichi Shimbun,3,https://mainichi.jp/flash/,https://mainichi.jp/articles/20260907/k00/00m/030/025000c,https://mainichi.jp/articles/20260907/k00/00m/030/025000c,"ドイツ東部州議会選、極右政党が第1党に　州政権担うかが焦点",2026-09-07T09:38:00+09:00,2026-09-07T09:57:00+09:00,EXCLUDED,paid/authentication-restricted,"Article explicitly marked as paid; only an introductory portion was publicly accessible before the subscription wall."
pilot-01,A04,A,Mainichi Shimbun,4,https://mainichi.jp/flash/,https://mainichi.jp/articles/20260907/k00/00m/040/024000c,https://mainichi.jp/articles/20260907/k00/00m/040/024000c,"東北新幹線、全線で運転再開　東京―仙台間で一時運転見合わせ",2026-09-07T09:32:00+09:00,2026-09-07T09:57:00+09:00,SELECTED,,"Ordinary public article accessible without authentication; short article retained because article length is not a selection criterion. Full-screen/large overlay advertisement observed on article entry."
A05-01,A05,A,Toyo Keizai Online,1,https://toyokeizai.net/category/tk-articles,https://toyokeizai.net/articles/-/956948,https://toyokeizai.net/articles/-/956948,"関西人おなじみ「頑固オヤジ」の素顔は偉大なイノベーターだった…和食チェーン「がんこ」創業者がつむいだ一代記の神髄",2026-09-07T09:00:00+09:00,2026-09-07T10:06:55+09:00,SELECTED,,"Public article; substantial article content available after clicking the free-reading button."
A05-02,A05,A,Toyo Keizai Online,2,https://toyokeizai.net/category/tk-articles,https://toyokeizai.net/articles/-/956497,https://toyokeizai.net/articles/comic/956497,"「食いだおれバスツアー」ぼっち参加だった私の思いがけない結末…漫画「55歳のひとり旅デビュー まめ旅すたいろ。」",2026-09-07T08:00:00+09:00,2026-09-07T10:06:55+09:00,SELECTED,,"Public manga article; normal reading experience available after clicking the free-reading button."
A05-03,A05,A,Toyo Keizai Online,3,https://toyokeizai.net/category/tk-articles,https://toyokeizai.net/articles/-/957100?display=b,https://toyokeizai.net/articles/-/957100?display=b,"「われわれには新たなアイデアがある」…米特使が開戦後初めて首都キーウ入り…ロシアとの戦争終結に向けて協議",2026-09-07T07:15:00+09:00,2026-09-07T10:06:55+09:00,EXCLUDED,PAYWALL,"Paid-member article; only a short introductory portion available before paywall; insufficient public article content for normal measurement."
A05-04,A05,A,Toyo Keizai Online,4,https://toyokeizai.net/category/tk-articles,https://toyokeizai.net/articles/-/957098?display=b,https://toyokeizai.net/articles/-/957098?display=b,"ドイツ極右政党AfD（ドイツのための選択肢）、ザクセン・アンハルト州議会選挙で第1党に…CDUの得票率は大幅に減少",2026-09-07T07:10:00+09:00,2026-09-07T10:06:55+09:00,EXCLUDED,PAYWALL,"Paid-member article; only a short introductory portion available before paywall; insufficient public article content for normal measurement."
A05-05,A05,A,Toyo Keizai Online,5,https://toyokeizai.net/category/tk-articles,https://toyokeizai.net/articles/-/956918?display=b,https://toyokeizai.net/articles/-/956918?display=b,"自動運転のティアフォー、加藤CEO「黒字化はもう見えている」 カギを握る「運用車両800台」",2026-09-07T07:00:00+09:00,2026-09-07T10:06:55+09:00,SELECTED,,"Paid-member article; substantial public article content available before paywall; paywall displayed with 1,491 characters remaining."
A06-01,A06,A,PRESIDENT Online,1,https://president.jp/category/column,https://president.jp/articles/-/118513,https://president.jp/articles/-/118513,"新型CX-5の販売は好調だが…マツダの看板「ディーゼル」を捨てざるを得なかった""のっぴきならない事情""",2026-09-07T10:00:00+09:00,2026-09-07T10:10:29+09:00,SELECTED,,"Public multi-page editorial article; substantial article content publicly accessible without authentication."
A06-02,A06,A,PRESIDENT Online,2,https://president.jp/category/column,https://president.jp/articles/-/118559,https://president.jp/articles/-/118559,"8年前は日本が世界一だったのに…「習近平の野望」で生産数4倍に引き離された､AIでもEVでもない「超成長産業」",2026-09-07T09:00:00+09:00,2026-09-07T10:10:29+09:00,SELECTED,,"Public multi-page editorial article; substantial article content publicly accessible without authentication."
A06-03,A06,A,PRESIDENT Online,3,https://president.jp/category/column,https://president.jp/articles/-/118466,https://president.jp/articles/-/118466,"坂本龍馬でも西郷隆盛でもない…明治維新を成功させ植民地化から日本を救った""ラッキーな2つの出来事""",2026-09-07T08:00:00+09:00,2026-09-07T10:10:29+09:00,SELECTED,,"Public multi-page editorial article; substantial article content publicly accessible without authentication."
P01-A07-01,A07,A,JBpress,1,https://jbpress.ismedia.jp/category/jbpress,https://jbpress.ismedia.jp/articles/-/96885,https://jbpress.ismedia.jp/articles/-/96885,"くら寿司「ちいかわ」コラボ不正、AI監視だけでは防げない従業員による景品横流し…内なる転売ヤーをどう防ぐ？",2026-09-07,2026-09-07T10:15:46+09:00,SELECTED,,"Publicly accessible ordinary editorial article; 5-page article."
P01-A07-02,A07,A,JBpress,2,https://jbpress.ismedia.jp/category/jbpress,https://jbpress.ismedia.jp/articles/-/96880,https://jbpress.ismedia.jp/articles/-/96880,"エンゼルス6300億円買収が突きつけた日米格差…価値高騰するメジャー球団に対し、日本のプロ野球球団は変われるのか",2026-09-07,2026-09-07T10:15:46+09:00,SELECTED,,"Publicly accessible ordinary editorial article; 3-page article."
P01-A07-03,A07,A,JBpress,3,https://jbpress.ismedia.jp/category/jbpress,https://jbpress.ismedia.jp/articles/-/96879,https://jbpress.ismedia.jp/articles/-/96879,"高校球児の「もうひとつの最後の夏」、最先端データと元プロの教えが高校生の未来を変えるジャパン・サマーリーグ",2026-09-07,2026-09-07T10:15:46+09:00,SELECTED,,"Publicly accessible ordinary editorial article; 5-page article."
P01-A08-01,A08,A,Gendai Business,1,https://gendai.media/list/latest/gendaibusiness,https://gendai.media/articles/-/169668,https://gendai.media/articles/-/169668,"膠原病の薬物療法「ステロイド」とうまく付き合うために。副作用をどうコントロールするか",2026-09-07,2026-09-07T10:20:23+09:00,SELECTED,,"Publicly accessible ordinary editorial article; series article."
P01-A08-02,A08,A,Gendai Business,2,https://gendai.media/list/latest/gendaibusiness,https://gendai.media/articles/-/169670,https://gendai.media/articles/-/169670,"膠原病を悪化させないために、自分でできる生活の工夫とは？　疲れ・ストレスは大敵！",2026-09-07,2026-09-07T10:20:23+09:00,SELECTED,,"Publicly accessible ordinary editorial article; series article."
P01-A08-03,A08,A,Gendai Business,3,https://gendai.media/list/latest/gendaibusiness,https://gendai.media/articles/-/169767,https://gendai.media/articles/-/169767,"“ここ”から世界へ、村田沙耶香にとっての「コンビニ人間」",2026-09-07,2026-09-07T10:20:23+09:00,SELECTED,,"Publicly accessible ordinary editorial interview; series article."
pilot-01,A09,A,Shueisha Online,1,https://shueisha.online/list/latest,https://shueisha.online/articles/-/258446,https://shueisha.online/articles/-/258446,"〈AIが株式市場を支配する日〉本当に怖いのは「暴走」ではない…AIによって市場が人間以上に非合理的になるワケ",2026-09-07,2026-09-07T10:24:25+09:00,SELECTED,,"First eligible article in latest listing"
pilot-01,A09,A,Shueisha Online,2,https://shueisha.online/list/latest,https://shueisha.online/articles/-/258575,https://shueisha.online/articles/-/258575,"ドライブスルーで入れ忘れ「家まで届けてほしい」はカスハラ？",2026-09-06,2026-09-07T10:24:25+09:00,SELECTED,,"Second eligible article in latest listing"
pilot-01,A09,A,Shueisha Online,3,https://shueisha.online/list/latest,https://shueisha.online/articles/-/258565,https://shueisha.online/articles/-/258565,"〈不登校だった自分、ありがとう〉宗教2世で失踪、うつ、ひきこもり…「逆を外れまくった」48歳男性が最先端AIエンジニアになるまで",2026-09-06,2026-09-07T10:24:25+09:00,SELECTED,,"Third eligible article in latest listing"
pilot-01,A10,A,GIZMODO JAPAN,1,https://www.gizmodo.jp/articles/,https://www.gizmodo.jp/article/price-forecasts-for-foldable-iphones/,https://www.gizmodo.jp/article/price-forecasts-for-foldable-iphones/,"iPhone Ultraおいくらですか？ 最新予想がこちら",2026-09-07,2026-09-07T10:28:29+09:00,SELECTED,,"Latest listing candidate 1; ordinary publicly accessible editorial article"
pilot-01,A10,A,GIZMODO JAPAN,2,https://www.gizmodo.jp/articles/,https://www.gizmodo.jp/article/zero-gravity-workstation-0b-xl-prone/,https://www.gizmodo.jp/article/zero-gravity-workstation-0b-xl-prone/,"起きたくない月曜に。あお向けどころかうつ伏せでも作業できるデスク＆チェア",2026-09-07,2026-09-07T10:28:29+09:00,SELECTED,,"Latest listing candidate 2; ordinary publicly accessible editorial article"
pilot-01,A10,A,GIZMODO JAPAN,3,https://www.gizmodo.jp/articles/,https://www.gizmodo.jp/article/razer-prio/,https://www.gizmodo.jp/article/razer-prio/,"「挟み込みスタイルのスマホゲームパッドって大きい」と思っていたあなたへ",2026-09-07,2026-09-07T10:28:29+09:00,SELECTED,,"Latest listing candidate 3; ordinary publicly accessible editorial article"
pilot-01,B01,B,痛いニュース(ﾉ∀`),1,https://itainews.com/,https://itainews.com/archives/2066924.html,https://itainews.com/archives/2066924.html,"板野友美、YouTube撮影めぐる指摘に謝罪　大浴場の脱衣所でカメラを回し物議も「ホテル側より特別に撮影許可いただいた」",2026-09-07,2026-09-07T10:58:08+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B01,B,痛いニュース(ﾉ∀`),2,https://itainews.com/,https://itainews.com/archives/2066922.html,https://itainews.com/archives/2066922.html,"《史上最低だと思う》首相ランキング／女性有権者が選んだ1位は「日本を貧乏な国にした」",2026-09-07,2026-09-07T10:58:08+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B01,B,痛いニュース(ﾉ∀`),3,https://itainews.com/,https://itainews.com/archives/2066917.html,https://itainews.com/archives/2066917.html,"《福岡県議会》蔵内元議長、大田京子議員らの“タイタニックごっこ”写真拡散…タイで行われていた送別宴の様子",2026-09-07,2026-09-07T10:58:08+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
