id,group,media_property,operator,measurement_domain,media_type,selection_basis,primary_evidence,secondary_evidence,notes
A01,A,Asahi Shimbun Digital,The Asahi Shimbun Company,asahi.com,newspaper,QMC participant,https://mediastring.net/qualitymediaconsortium/,https://www.atpress.ne.jp/news/340510,"Premium/PMP comparison group; PMP participation does not imply that every measured impression is PMP"
A02,A,Nikkei,Nikkei Inc.,nikkei.com,business_newspaper,QMC participant,https://mediastring.net/qualitymediaconsortium/,,"Premium/PMP comparison group"
A03,A,Yomiuri Shimbun Online,The Yomiuri Shimbun,yomiuri.co.jp,newspaper,QMC participant,https://mediastring.net/qualitymediaconsortium/,,"Premium/PMP comparison group"
A04,A,Mainichi Shimbun,The Mainichi Newspapers Co. Ltd.,mainichi.jp,newspaper,QMC participant,https://mediastring.net/qualitymediaconsortium/,https://www.atpress.ne.jp/news/340510,"Premium/PMP comparison group"
A05,A,Toyo Keizai Online,Toyo Keizai Inc.,toyokeizai.net,business_media,QMC participant,https://mediastring.net/qualitymediaconsortium/,,"Premium/PMP comparison group"
A06,A,PRESIDENT Online,PRESIDENT Inc.,president.jp,business_media,QMC participant,https://mediastring.net/qualitymediaconsortium/,https://www.atpress.ne.jp/news/340510,"Premium/PMP comparison group"
A07,A,JBpress,Japan Business Press Co. Ltd.,jbpress.ismedia.jp,digital_business_media,QMC participant,https://mediastring.net/qualitymediaconsortium/,,"Premium/PMP comparison group"
A08,A,Gendai Business,Kodansha Ltd.,gendai.media,magazine_digital,QMC participant,https://mediastring.net/qualitymediaconsortium/,https://www.atpress.ne.jp/news/340510,"Premium/PMP comparison group"
A09,A,Shueisha Online,Shueisha Inc.,shueisha.online,magazine_digital,QMC participant,https://mediastring.net/qualitymediaconsortium/,https://www.atpress.ne.jp/news/340510,"Premium/PMP comparison group"
A10,A,GIZMODO JAPAN,Mediagene Inc.,gizmodo.jp,digital_native,QMC participant,https://mediastring.net/qualitymediaconsortium/,https://www.atpress.ne.jp/news/340510,"Premium/PMP comparison group"
B01,B,Itai News,,itainews.com,summary_aggregation,Summary/aggregation comparison group,https://itainews.com/,,"Operator identity to be evaluated independently under B1"
B02,B,オレ的ゲーム速報＠刃,,jin115.com,summary_aggregation,Summary/aggregation comparison group,https://jin115.com/,,"Replacement property selected under the Pilot 01 replacement media procedure after the original B02 property was excluded for safety. Operator identity to be evaluated independently under B1."
B03,B,Newsoku Quality,,news4vip.livedoor.biz,summary_aggregation,Summary/aggregation comparison group,https://news4vip.livedoor.biz/,,"Operator identity to be evaluated independently under B1"
B04,B,Hamster Sokuhou,,hamusoku.com,summary_aggregation,Summary/aggregation comparison group,https://hamusoku.com/,,"Operator identity to be evaluated independently under B1"
B05,B,Tetsugaku News nwk,,nwknews.jp,summary_aggregation,Summary/aggregation comparison group,https://blog.livedoor.jp/nwknews/,,"Operator identity to be evaluated independently under B1; measurement domain updated to nwknews.jp after the original selection URL resolved to the current independent domain during article selection."
B06,B,VIPPER na Ore,,news23vip.livedoor.blog,summary_aggregation,Summary/aggregation comparison group,https://blog.livedoor.jp/news23vip/,,"Site describes itself as a summary site; operator identity to be evaluated independently under B1; measurement domain updated to news23vip.livedoor.blog after the original selection URL resolved to the current site domain during article selection."
C01,C,JiJi Style,Y&H Inc.,style.yh-inc.jp,experimental_media,One Page × One Advertiser experimental comparison,https://style.yh-inc.jp/,,"Must be measured using the same methodology as Groups A and B; not treated as a successful reference by definition"
