media_id,media_property,selector,selector_type,validation_status,validated_url,validated_at,notes
A01,Asahi Shimbun Digital,.nfyQp,media-specific,VALIDATED,https://www.asahi.com/articles/ASV932FCTV93BQBQ1Y8M.html,2026-09-07T16:33:48+09:00,Direct child of main#main; contains the normal article-reading flow including an in-article advertising module. No suitable semantic article selector observed.
A02,Nikkei,article,semantic,VALIDATED,https://www.nikkei.com/article/DGXZQOUD070A20X00C26A9000000/,2026-09-07T17:03:05+09:00,"Semantic article element validated across all three selected Pilot 01 articles; article, main article, and main resolved to the same reading-region boundaries in each validation."
A03,Yomiuri Shimbun Online,article,semantic,VALIDATED,https://www.yomiuri.co.jp/national/20260906-GYT1T00180/,2026-09-07T17:15:13+09:00,Semantic article element validated across all three selected Pilot 01 articles. The article boundary consistently ends before the post-article Taboola recommendation region; itemprop=articleBody was present only on an individual paragraph and was not used.
A04,Mainichi Shimbun,#articledetail-body,structural,VALIDATED,https://mainichi.jp/articles/20260907/k00/00m/030/027000c,2026-09-07T17:27:49+09:00,The articledetail-body section was validated across all three selected Pilot 01 articles as the normal article reading region. The outer article element was substantially broader and included sidebar and post-article recommendation content. One short article was below the generic structural-candidate text-length threshold but direct DOM inspection confirmed the same articledetail-body structure.
A05,Toyo Keizai Online,.article-body,structural,VALIDATED,https://toyokeizai.net/articles/-/956918?display=b,2026-09-07T18:04:50+09:00,".article-body validated across three selected Pilot 01 articles. Outer article includes article footer and related content. Candidates 956948 and 956497 were excluded because meaningful content required an explicit free-content access interaction."
B01,痛いニュース(ﾉ∀`),.entry-content,structural,VALIDATED,https://itainews.com/archives/2066924.html,2026-09-07T16:33:48+09:00,Article reading region identified by the existing entry-content structure.
C01,JiJi Style,article,semantic,VALIDATED,https://style.yh-inc.jp/ジジイのsummer-white-shirt-styles-3-looks/,2026-09-07T16:33:48+09:00,Semantic article element contains the normal article-reading region and excludes subsequent page content.
A06,PRESIDENT Online,.article-body,structural,VALIDATED,https://president.jp/articles/-/118513,2026-09-07T18:14:49+09:00,".article-body validated across all three selected Pilot 01 articles. The outer article element includes surrounding article-level content, while post-article recommendation blocks begin after the article boundary."
A07,JBpress,.article-body,structural,VALIDATED,https://jbpress.ismedia.jp/articles/-/96885,2026-09-07T18:21:25+09:00,".article-body validated across all three selected Pilot 01 articles. The outer article element also includes article-level surrounding content and related-article sections, while .article-body consistently identifies the normal reading region."
A08,Gendai Business,#gendai-articleContents,structural,VALIDATED,https://gendai.media/articles/-/169668,2026-09-07T19:13:43+09:00,"#gendai-articleContents validated across all three selected Pilot 01 articles. The same article-content ID was consistently present across different Kodansha sub-brand layouts, while surrounding article and post-article recommendation regions were outside this boundary."
A09,Shueisha Online,.article-body,structural,VALIDATED,https://shueisha.online/articles/-/258446,2026-09-07T19:19:59+09:00,".article-body validated across all three selected Pilot 01 articles. The semantic article selector resolves related-article cards rather than the main article body, while .article-body consistently identifies the normal reading region and excludes subsequent Taboola and related-content sections."
A10,GIZMODO JAPAN,.article_pArticle_Body,structural,VALIDATED,https://www.gizmodo.jp/article/price-forecasts-for-foldable-iphones/,2026-09-07T19:51:20+09:00,".article_pArticle_Body validated across all three selected Pilot 01 articles. The semantic article selector resolves related-article cards rather than the main article body. The stable non-hashed .article_pArticle_Body class consistently identifies the normal reading region, while .gtm-recommend begins after the article body."
B02,オレ的ゲーム速報＠刃,.article_bodymore,structural,VALIDATED,https://jin115.com/archives/52458385.html,2026-09-08T08:27:41+09:00,".article_bodymore validated across all three selected Pilot 01 articles. The outer article#contents includes the article, related-content areas, and a large comment section, while .article_bodymore consistently identifies the normal article reading region. Related-article blocks begin after this region."
B03,ニュー速クオリティ,.article-body-more,structural,VALIDATED,https://news4vip.livedoor.biz/archives/52589218.html,2026-09-08T15:16:49+09:00,".article-body-more validated across all three selected Pilot 01 articles. The semantic article selector resolves a small unrelated element rather than the main article body, while .article-body-more consistently identifies the normal article reading region. The outer .ently_body container extends beyond the article body and therefore is too broad for the reading-region boundary."
B04,ハムスター速報,.article-body-more,structural,VALIDATED,https://hamusoku.com/archives/11037298.html,2026-09-09T16:17:22+09:00,".article-body-more validated across all three selected Pilot 01 articles. The broader .entry-content container includes post-body recommendation content, while .article-body-more consistently identifies the normal article reading region. Post-body popular-article recommendation blocks begin after this region."
